Filename,Title,Source,SHA-1,Date,Year
fireeye-malware-supply-chain,Supply Chain Analysis: From Quartermaster To Sunshopfireeye,FireEye,7ddab1f54ef0ba0a48efdb7ca39ddcc82f0a84d6,11/11/2013,2013
FTA 1010 - njRAT The Saga Continues,"""Njrat"", The Saga Continues",Fidelis,a8f9bc957ae0ee7e38a2cefb83afff0b1bd68422,12/02/2013,2013
fireeye-operation-ke3chang,Operation Ke3Chang Targeted Attacks Against Ministries Of Foreign Affairs,FireEye,b670b7a7904baded891a4c6e7afe692998989668,12/11/2013,2013
ETSO_APT_Attacks_Analysis,Etso Apt Attacks Analysis  ,AhnLab,dc92b79b353eb0e47e71216f3fa1f0c6167e29e7,12/20/2013,2013
energy-at-risk,Energy At Risk: A Study Of It Security In The Energy And Natural Resources Industry,KPMG,f03931c7214e71f4bfcc6a5008acb3f4bb1cb0e3,12/31/2013,2013
targeted_attacks_against_the_energy_sector,Targeted Attacks Against The Energy Sector,Symantec,8421ef67d1e6dcc277f07f39f86e21fd89cf1d5a,01/13/2014,2014
FTA 1001 FINAL 1.15.14,New Cdto: A Sneakernet Trojan Solution,Fidelis,9767abff87b137695ab8481729ed7130499a0c80,01/15/2014,2014
h12756-wp-shell-crew,Emerging Threat Profile Shell_Crew ,RSA,ec6771a81e830f50c2d54b26dc0f6a642439ee09,01/21/2014,2014
FTA 1011 Follow UP,Intruder File Report- Sneakernet Trojan,Fidelis,036b1154d4cc2de08dc647eb743c6b4c9d860902,01/31/2014,2014
unveilingthemask_v1.0,Unveiling Careto - The Masked Apt,Kaspersky,1e4c8aef818d7d0e950974b6c9d2a792969e3a94,02/11/2014,2014
Operation_SnowMan,Operation Snowman: Deputydog Actor Compromises Us Veterans Of Foreign Wars Website,FireEye,114583db8690cd01c60d5758dbe2e2dc1e96fb25,02/13/2014,2014
XtremeRAT_fireeye,Xtremerat: Nuisance Or Threat?,FireEye,186d7913fe80c35a06e76a5c8fd08520f43b4246,02/19/2014,2014
The_Monju_Incident,The Monju Incident ,Context,9b66a35bea35d963d1ff07cab2a3914b38e24257,02/19/2014,2014
Operation_GreedyWonk,"Operation Greedywonk: Multiple Economic And Foreign Policy Sites Compromised, Serving Up Flash Zero-Day Exploit",FireEye,e162b0015a753a6d85a13296e601c31271868b1f,02/20/2014,2014
deep-panda-webshells,Mo' Shells Mo' Problems - Deep Panda Web Shells,Crowdstrike,76a6ea858e3524682ad3ee30251003228db50fb3,02/20/2014,2014
FTA 1012 STTEAM Final,"Gathering In The Middle East, Operation Stteam",Fidelis,d31648d83d04cc22669f21fa92ee48345e76e062,02/23/2014,2014
Crowdstrike_The French Connection(Feb-25-14),The French Connection: French Aerospace-Focused CVE-2014-0322 Attack Shares Similarities with 2012 Capstone Turbine Activity,Crowdstrike,51e8e24162c94d68637f8252ea6e8f5707b52a23,02/25/2014,2014
GData_Uroburos_RedPaper_EN_v1,Uroburos Highly Complex Espionage Software With Russian Roots,Gdata,917691a4f8af50a09926f97bf1be2e0cb71f8c68,02/28/2014,2014
The_Siesta_Campaign,The Siesta Campaign: A New Cybercrime Operation Awakens,Trend Micro,1e1f0c599eb1c22360cb9bf8bc30399050e3764b,03/06/2014,2014
snake_whitepaper,Snake Campaign & Cyber Espionage Toolkit,BAE Systems,0849ce1f0272c4604d47e464ab56cad0b5b60263,03/07/2014,2014
Reuters_Turla,"Suspected Russian Spyware Turla Targets Europe, United States",Reuters,94d04c5da4ed33cd78d033ad371aa8472e53d701,03/08/2014,2014
Op_Clandestine_Fox,New Zero-Day Exploit Targeting Internet Explorer Versions 9 Through 11 Identified In Targeted Attacks,FireEye,829bf301061a9a6358c233ca5aa459439fc0aec8,04/26/2014,2014
fireeye-operation-saffron-rose,Operation Saffron Rose,FireEye,41c3f02fe289ddb0d0c5a010f5865b58da939b1c,05/13/2014,2014
CrowdStrike_Flying_Kitten,Cat Scratch Fever: Crowdstrike Tracks Newly Reported Iranian Actor As Flying Kitten,Crowdstrike,e743ba5074212801ce09ee640730028ab8f41d48,05/13/2014,2014
Miniduke_twitter,Miniduke Still Duking It Out,ESET,91c2cdb099060388dd93b0e440a3ff4dff5fd622,05/20/2014,2014
FTA_1013_RAT_in_a_jar,Rat In A Jar: A Phishing Campaign Using Unrecom,Fidelis,b1e45b08bfa1db986e1e643291d250a0cda1988c,05/21/2014,2014
ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT,Illuminating The Etumbot Apt Backdoor,Arbor Networks,51bb16ba51be3c144ac9e09a68732cbe0bb785d5,06/06/2014,2014
putter-panda,Putter Panda,Crowdstrike,ddadffb91053c4d19590e2035c8eeed14fceca60,06/09/2014,2014
TrapX_ZOMBIE_Report_Final,Anatomy Of The Attack: Zombie Zero,Trapx,bd1794d152f04add2aef937826a9cf949c4b25ab,06/10/2014,2014
Bluecoat_SnakeInTheGrass-Python-Malware-Targeted(06-10-2014),Snake In The Grass: Python-based Malware Used For Targeted Attacks,Bluecoat,7132fa8920490fd6f33a464f7018fbd0baffb43b,06/10/2014,2014
Compromise_Greece_Beijing,#9 Blitzanalysis: Embassy Of Greece Beijing - Compromise,R136a1,292359e869860f8308c2cf789986fe7c12502553,06/20/2014,2014
Dragonfly_Threat_Against_Western_Energy_Suppliers,Dragonfly: Cyberespionage Attacks Against Energy Suppliers,Symantec,1856b8232153c3cc879662288b34b4a660586a9a,06/30/2014,2014
circl-tr25-analysis-turla-pfinet-snake-uroburos,Tr-25 Analysis - Turla / PNet / Snake/ Uroburos,CIRCL,7f3e46c42095721ba79b1a47e26e662eb7492057,07/10/2014,2014
Pitty_Tiger_Final_Report,The Eye Of The Tiger (Pitty Tiger),Airbus,d5a6d2366c4973f06e95bb1201747d0175321952,07/11/2014,2014
Sayad_Flying_Kitten_analysis,Sayad (Flying Kitten) Infostealer: Is This The Work Of The Iranian Ajax Security Team?,Vinsula,591cef00735f510079e0fe4bd0067ca0150fd004,07/20/2014,2014
Kaspersky_Lab_crouching_yeti_appendixes_eng_final,Crouching Yeti: Appendixes,Kaspersky,a53ce340535461cc92e274f7c5bfb0d8653d5087,07/31/2014,2014
EB-YetiJuly2014-Public,Energetic Bear _ Crouching Yeti,Kaspersky,142d4447504e30012d98fea16831f2363c62c5ca,07/31/2014,2014
KL_report_syrian_malware,"Syrian Malware, The Ever-Evolving Threat",Kaspersky,5ceee60079796aa518c5e490feaca4a0d78c031b,08/01/2014,2014
Gholee_Protective_Edge_themed_spear_phishing_campaign,Gholee Protective Edge Themed Spear Phishing Campaign,Clearsky,d78156c4a19f70d219ed76526769d4d5f141a4ed,08/04/2014,2014
fireeye-sidewinder-targeted-attack,Sidewinder Targeted Attack Against Android In The Golden Age Of Ad Libraries,FireEye,0e5301e830d7b19600b2d110115d7c0f0ab86b02,08/04/2014,2014
ThreatConnect_Operation_Arachnophobia_Report,Operation Arachnophobia Caught In The Spider's Web,ThreatConnect,2a38d54d1d345d079325d3180c5f0eb8f5d60f8a,08/05/2014,2014
Operation_Poisoned_Hurricane,Operation Poisoned Hurricane,FireEye,73f54d632b5616db3a5977c1514640e19279c056,08/06/2014,2014
KL_Epic_Turla_Technical_Appendix_20140806,The Epic Turla Operation: Solving Some Of The Mysteries Of Snake/Uroboros,Kaspersky,63e36939c3f90c4ca9d492b03cf04d9f03a4ec2f,08/07/2014,2014
El_Machete,El Machete,Kaspersky,2bf418f3786cd274b9031a2297313f044054bdfd,08/20/2014,2014
NetTraveler_Makeover_10th_Birthday,Nettraveler Apt Gets A Makeover For 10Th Birthday,Kaspersky,c264921f168c1cf344cd493d10aeebf92f80fb0c,08/27/2014,2014
HPSR SecurityBriefing_Episode16_NorthKorea,Profiling An Enigma:  The Mystery Of North Korea's Cyber Threat Landscape,HP,194656e774aaacb86ae2c48f0c894e82ec68a833,08/27/2014,2014
Alienvault_Scanbox,Scanbox: A Reconnaissance Framework Used With Watering Hole Attacks,Alienvault,28c56a1e795cd404308274424d10edcc3e9b4339,08/28/2014,2014
Syrian_Malware_Team_BlackWorm,Connecting The Dots: Syrian Malware Team Uses Blackworm For Attacks,FireEye,543e0df8b308a9383f86d4314d93b5a2e718bd42,08/29/2014,2014
Darwin_fav_APT_Group,Darwin's Favorite Apt Group,FireEye,c24ba893644a149a1f05432c392a716251dca72f,09/03/2014,2014
XSLCmd_OSX,Forced To Adapt: Xslcmd Backdoor Now On Os X,FireEye,b4c64e64f6309c0f424cdf0cdf449576f36cee16,09/04/2014,2014
Chinese_MITM_Google,Analysis Of Chinese Mitm On Google,Netresec,850ce69b276f4726de382eabcffa8cb8d68cecfc,09/04/2014,2014
sec14-paper-marczak,When Governments Hack Opponents: A Look At Actors And Technology,Usenix Conference,2cfbb7b89a5e220b21bbf64161dc880c1b644017,09/08/2014,2014
sec14-paper-hardy,Targeted Threat Index: Characterizing And Quantifying Politically-Motivated Targeted Malware,Usenix Conference,7aa450d7e2b43175590a1ee2c94f5342152cfc56,09/08/2014,2014
fireeye-operation-quantum-entanglement,Operation Quantum Entanglement,FireEye,bf937bb2315901541521f00abce8d441d272da16,09/10/2014,2014
cosmicduke_whitepaper,Cosmicduke Cosmu With A Twist Of Miniduke,F-Secure,f726486a5cc1e42d2030b07d56f87983814226c7,09/18/2014,2014
th3bug_Watering_Hole_PoisonIvy,Recent Watering Hole Attacks Attributed To Apt Group Th3Bug Using Poison Ivy,Palo Alto,7fc85f6c70527da8b2c4e6a32e1d4e18c007fcb6,09/19/2014,2014
blackenergy_whitepaper,Blackenergy & Quedagh: The Convergence Of Crimeware  And Apt Attacks,F-Secure,efd7b3a3a2bf6e3976411347dc9101fea70c9405,09/26/2014,2014
Aided_Frame_Aided_Direction,"Aided Frame, Aided Direction (Because It's A Redirect)",FireEye,83adcb352168b2d345155cf4ec7bbc876bb89849,09/26/2014,2014
PAN_Nitro,New Indicators Of Compromise For Apt Group Nitro Uncovered,Palo Alto,bc4cef4cabbcf83dbc1c72f736acb6207b260216,10/03/2014,2014
Democracy_HongKong_Under_Attack,Democracy In Hong Kong Under Attack,Volexity,9439561abc998b7f0f733142bc44f717b2615374,10/09/2014,2014
ZoxPNG_Full_Analysis-Final,Zoxpng Analysis,Novetta,d24ff42b2d02ba406d46f3912f1f7bd2d38b6113,10/14/2014,2014
Sandworm_briefing2,Russian Cyber Espionage Campaign - Sandworm Team,iSight Partners,cccc6053fa78cef9f8a28efdaa07c8cfa6a73cc2,10/14/2014,2014
Hikit_Analysis-Final,Hikit Analysis,Novetta,5c4415913a16a0331600816bb4cf8a1954e743dd,10/14/2014,2014
Group_72,Threat Spotlight: Group 72,Cisco,20dd2aaae24812d78cd1c5e32c68b7998e00e0ca,10/14/2014,2014
OrcaRAT,Orcarat - A Whale Of A Tale,PWC,13a055fe7be7e55dcce0035eaf1990fbe8406c98,10/20/2014,2014
tactical-intelligence-bulletin---sofacy-phishing-,Tactical Intelligence Bulletin Sofacy Phishing,PWC,643c7e975121b4614156fc4f29de09b4fd1f0026,10/22/2014,2014
wp-operation-pawn-storm,Operation Pawn Storm Using Decoys To Evade Detection,Trend Micro,4ff4b93665664603623bc7001e3ca961b8b78b9f,10/23/2014,2014
Modified_Binaries_Tor,Modified Binaries Tor,Joshua Pitts,c0708a3efcf32d02cfb5348f87fe140ae6f470e8,10/23/2014,2014
LeoUncia_OrcaRat,Leouncia And Orcarat,Airbus,4bd6fa0c0a85f9041cecd54d722decdb4e817fe0,10/24/2014,2014
Novetta_Operation-SMN(10-24-2014),Operation SMN,Novetta,6b69bd2d1f6def7c593fa7feeb652bf938ee5632,10/24/2014,2014
pwc_ScanBox_framework,"Scanbox Framework: Who's Affected, And Who's Using It?",PWC,c264d97adeb81f59b0642de9a782f6fe545ed062,10/27/2014,2014
Micro-Targeted-Malvertising-WP-10-27-14-1,Micro-Targeted Malvertising Via Real-Time Ad Bidding,Invincea,20fa586304cbbfaf23453c1bbe7033de398bd9fb,10/27/2014,2014
ICS_Havex_backdoors,Full Disclosure Of Havex Trojans,Netresec,50b165c213697facb2410591c3ddf772b95fc805,10/27/2014,2014
Group72_Opening_ZxShell,"Threat Spotlight: Group 72, Opening The Zxshell",Cisco,116309e7121bc8b0e66e4166c06f7b818e1d3629,10/28/2014,2014
apt28,Apt28: A Window Into Russia's Cyber Espionage Operations,FireEye,1d9b39654f8c7678b3e2c30e378b2e14021b5d44,10/28/2014,2014
sophos-rotten-tomato-campaign,The Rotten Tomato Campaign,Sophos,23f0de5e628eccdfc670412485653f3662ab5594,10/30/2014,2014
GDATA_TooHash_CaseStudy_102014_EN_v1,Operation Toohash How Targeted Attacks Work ,Gdata,85fcdce7427c13906658f1835acaef7103c22ad3,10/31/2014,2014
Operation_Poisoned_Handover,Operation Poisoned Handover: Unveiling Ties Between Apt Activity In Hong Kong's Pro-Democracy Movement,FireEye,40674e70c595d30f19b2c2636ed7d9dc6b146e8e,11/03/2014,2014
BlackEnergy2_Plugins_Router,"Be2 Custom Plugins, Router Abuse, And Target Profiles",Kaspersky,15daf73d022246964c2938a889361aba40e7d08b,11/03/2014,2014
darkhotelappendixindicators_kl,Darkhotel Indicators Of Compromise,Kaspersky,abddcfeac71a991c480810c82d7e972c74251329,11/10/2014,2014
darkhotel_kl_07.11,The Darkhotel Apt A Story Of Unusual Hospitality v1.0,Kaspersky,dfd64e9a601283c76ae3f28875166695dc354a21,11/10/2014,2014
Kaspersky_Darkhotel_kl_07.11_1.1(11-10-2014),The Darkhotel APT A Story of Unusual Hospitality v1.1,Kaspersky,fab8b6fddc50a533d5b537b27156cb265fea7f02,11/10/2014,2014
The_Uroburos_case,The Uroburos Case: New Sophisticated Rat Identified,Gdata,96173322b936132aa4cdc0328e4a247d40ae5152,11/11/2014,2014
Korplug_Afghanistan_Tajikistan,Korplug Military Targeted Attacks: Afghanistan & Tajikistan,ESET,b336dd349c5b4620f04d98b90282c7ae900a3a42,11/12/2014,2014
Operation_CloudyOmega_Ichitaro,Operation Cloudyomega: Ichitaro Zero-Day And Ongoing Cyberespionage Campaign Targeting Japan,Symantec,a4520f8f85d13aa469ff3e1b6d333e4c9a290e7a,11/13/2014,2014
roaming_tiger_zeronights_2014,Roaming Tiger,ESET,9d116269da44e22cc6f1496570bb4d56f7cc277b,11/14/2014,2014
OnionDuke_Tor,Onionduke: Apt Attacks Via The Tor Network - F-Secure Weblog : News From The Lab,F-Secure,c50a95070633ecc76898b9f16ded848414747156,11/14/2014,2014
Derusbi_Server_Analysis-Final,Derusbi (Server Variant) Analysis,Novetta,d246e3075bbd31f04b2a6efb53ad7d9e9faa0e96,11/14/2014,2014
EvilBunny_Suspect4_v1.0,Evil Bunny: Suspect #4,Marion Marschalek,814556f1a03e93364f4dc54555cb27549288e061,11/20/2014,2014
OperationDoubleTap,Operation Double Tap,FireEye,e8fcb14805853185b36093119094085f0f7f86a2,11/21/2014,2014
regin-analysis,Regin: Top-Tier Espionage Tool Enables Stealthy Surveillance,Symantec,40f76477ba1f453b341743b53113ebd705c1bb75,11/23/2014,2014
Regis_The_Intercept,Secret Malware In European Union Attack Linked To U.S. And British Intelligence,The Intercept,50be553c398b512ddd9741a0ab0350dccd600a3b,11/24/2014,2014
Kaspersky_Lab_whitepaper_Regin_platform_eng,The Regin Platform Nation-State Ownership Of Gsm Networks,Kaspersky,5bbf6a633076473dc4b2afb6d166c8caa84463e4,11/24/2014,2014
DEEP_PANDA_Sakula,I Am Ironman: Deep Panda Uses Sakula Malware To Target Organizations In Multiple Sectors,Crowdstrike,02be2ef6587e940656cde835354d0073c4dce232,11/24/2014,2014
rpt-fin4,Hacking The Street?  Fin4 Likely Playing The Market,FireEye,e5e09d247f5d25d7c960a3ef3231cef9d59a2b61,12/01/2014,2014
OperationCleaver_The_Notepad_Files,Operation Cleaver: The Notepad Files,Cylance,114d677bac083a956038f44abec2bf2a59e1e080,12/03/2014,2014
Turla_2_Penquin,The 'Penquin' Turla,Kaspersky,dc20be49cbcecaf38bde2105a54580eb96605c25,12/08/2014,2014
bcs_wp_InceptionReport_EN_v12914,The Inception Framework: Cloud-Hosted Apt,Bluecoat,975c44773b456562f9ab5f9986c2102a21b618bd,12/09/2014,2014
w64_regin_stage_1,"W64/Regin, Stage #1",F-Secure,c5355707644b6948069345e2e8bac429e39f882d,12/10/2014,2014
w32_regin_stage_1,"W32/Regin, Stage #1",F-Secure,62d5fdb316ad5b0c5e3afb5919785df4c557f25b,12/10/2014,2014
korea_power_plant_wiper,"Vulnerability, Malicious Code Appeared In The Mbr Destruction Function Using Hangul File",AhnLab,fefd7ff6b2b254bd2e05784b51758c5d90acc06f,12/10/2014,2014
CloudAtlas_RedOctober_APT,Cloud Atlas: Redoctober Apt Is Back In Style,Kaspersky,a9970d82d1b539ee63838619fcb9aaaae5f0c51d,12/10/2014,2014
Vinself_steganography,Vinself Now With Steganography,Airbus,ae90917c7abe0c38ae289be9589f04c6fa7184c0,12/12/2014,2014
FTA_1014_Bots_Machines_and_the_Matrix,"Bots, Machines, And The Matrix",Fidelis,92f526d9a5e14080fdbec90ba2385617bbf19a10,12/12/2014,2014
Wiper_Malware,Wiper Malware _ A Detection Deep Dive,Cisco,f7db20ae4b3f4784a3b4ac346424872858370a18,12/17/2014,2014
Targeting_Syrian_ISIS_Critics,Malware Attack Targeting Syrian Isis Critics,"Citizen Lab, Cyber Arabs",d0f24df94063d28e13c08fd2aeb9522034da3dea,12/18/2014,2014
TA14-353A_wiper,Alert (Ta14-353A) Targeted Destructive Malware,US-CERT,0e575c64a7603a1709b1ae37e286f420128d2096,12/19/2014,2014
operation-poisoned-helmand,Operation Poisoned Helmand,ThreatConnect,1a4508469960b248ba713cecf34653c59fd460f1,12/21/2014,2014
Anunak_APT_against_financial_institutions,Anunak: Apt Against Financial Institutions,"Group-IB, FOX-IT",c1b7c2bec86e8edf8bba650c6fa506319198e3c3,12/22/2014,2014
Skeleton_Key_Analysis,Skeleton Key Malware Analysis,Dell Secureworks,28f35f4b95e66030cf2a330bae394bbf8805b34f,01/12/2015,2015
DTL-12012015-01,Insight In To A Strategic Web Compromise And Attack Campaign Against Hong Kong Infrastructure,Dragon Threat Labs,2aa6e47d8b9549b8ca2ea62db6384bb4db682bcf,01/12/2015,2015
Agent.BTZ_to_ComRAT,Evolution Of Sophisticated Spyware: From Agent.Btz To Comrat,Gdata,cde02057689886c29438815cbeed8ebe860a0ab2,01/15/2015,2015
Project_Cobra_Analysis,Analysis Of Project Cobra,Gdata,6df16b7ff93a44fcbec3b656645631b864175bcf,01/20/2015,2015
Inception_APT_Analysis_Bluecoat,Reversing The Inception APT Malware,Bluecoat,486a65ba17141147d3d9fff2a0c26109edf78fab,01/20/2015,2015
waterbug-attack-group,The Waterbug Attack Group,Symantec,d6b2e4dba3b801252a62e0dade5c8ab71d2eefb1,01/22/2015,2015
Scarab_Russian,Scarab Attackers Took Aim At Select Russian Targets Since 2012,Symantec,247676579b83264faf32e171f9187bbdbb057c7f,01/22/2015,2015
Regin_Hopscotch_Legspin,An Analysis Of Regin's Hopscotch And Legspin,Kaspersky,630eea3f1bc9158570c53d70fc70b31003305f5c,01/22/2015,2015
P2P_PlugX_Analysis,Analysis Of A Recent Plugx Variant - P2P Plugx,JPCERT,d2e17e228e02df878f807b112f78afdc13cc6bca,01/29/2015,2015
Backdoor.Winnti_Trojan.Skelky,Backdoor.Winnti Attackers Have A Skeleton In Their Closet?,Symantec,c9a33400ab60741ff0c77a9829f3e04cfe39f2d2,01/29/2015,2015
rpt-behind-the-syria-conflict,Behind The Syrian Conflict's Digital Front Lines,FireEye,4751fe686fb4e305ef49296f46ac33139114232b,02/02/2015,2015
PawnStorm_iOS,Pawn Storm Update: Ios Espionage App Found,Trend Micro,4e645016b3627272cceb28a3b8bbba536eb9a6b4,02/04/2015,2015
GlobalThreatIntelReport,Global Threat Intel Report,Crowdstrike,86f4a308b99a2a9cb335dc06457dd09399c05a29,02/10/2015,2015
operation-arid-viper-whitepaper-en,Operation Arid Viper: Bypassing The Iron Dome,Trend Micro,9134d57a818f98608a53b53dcfb520716d9eb1c3,02/16/2015,2015
Equation_group_questions_and_answers,Equation Group: Questions And Answers,Kaspersky,41aa5bd1ed03d80650a89de3649d051f900b958b,02/16/2015,2015
Carbanak_APT_eng,Carbanak APT The Great Bank Robbery,Kaspersky,99af231600ee8fd83b4b4fb057429e60cd9d21c4,02/16/2015,2015
The-Desert-Falcons-targeted-attacks,The Desert Falcons Targeted Attacks,Kaspersky,0f4d8ba248dde47b514161014a57885aed084ce2,02/17/2015,2015
Elephantosis,Shooting Elephants,Netzpolitik,c8f384ae75119626032d4b42f34e883269dbf2a4,02/18/2015,2015
cto-tib-20150223-01a,Scanbox Ii,PWC,c73cbb8fa22e16920e3cbf51226f3fd8010d38bb,02/24/2015,2015
rpt-southeast-asia-threat-landscape,Southeast Asia: An Evolving Cyber Threat Landscape ,"FireEye, Singtel",7c69db91f21ee20f7abcb4d95f21c4a17bfa6d17,02/25/2015,2015
plugx-goes-to-the-registry-and-india,Plugx Goes To The Registry (And India),Sophos,fc1d350810c19c94b1f3642fa08f50bf914ab821,02/25/2015,2015
Anthem_hack_all_roads_lead_to_China,The Anthem Hack: All Roads Lead To China,ThreatConnect,40559d68f1a3d25639408209de18d8ee395ae08a,02/27/2015,2015
Tibetan-Uprising-Day-Malware-Attacks_websitepdf,Tibetan Uprising Day Malware Attacks,Citizen Lab,d17fdf8935e094b2a34cde539abc85eec3533941,03/10/2015,2015
Inside_EquationDrug_Espionage_Platform,Inside The Equationdrug Espionage Platform,Kaspersky,a9a89dbd99ed439abcfced111affc69f9728fc7a,03/11/2015,2015
wp-operation-woolen-goldfish,Operation Woolen-Goldfish When Kittens Go Phishing,Trend Micro,73a8169eff8f50cefe587c1097d67fb45e71a046,03/19/2015,2015
volatile-cedar-technical-report,Volatile Cedar Threat Intelligence And Research,Checkpoint,7cd5b12fa38705e254296133991410754f1678ab,03/31/2015,2015
Novetta_winntianalysis(04-07-2015),WINNTI Analysis,Novetta,70ee75103d9fc301b7638712ba13c86014b8a0ad,04/07/2015,2015
RSA-IR-Case-Study(Apr-8-15),RSA Incident Response: An APT Case Study,RSA,f2755e9e4e380e2a8357916862e145965c6e7365,04/08/2015,2015
rpt-apt30,APT30 And The Mechanics Of A Long-Running Cyber Espionage Operation,FireEye,1b83984e2c9515c59885bc0078e3b1bed5d513b2,04/12/2015,2015
The Chronicles of the Hellsing APT_ the Empire Strikes Back - Securelist,The Chronicles Of The Hellsing APT: The Empire Strikes Back,Kaspersky,3991aeb7aa51f81e0742f06b833b055aae662bf9,04/15/2015,2015
Indicators_of_Compormise_Hellsing,Hellsing Indicators Of Compromise,Kaspersky,5b22b494cfe329c352948530cb19b6dc5067ca44,04/15/2015,2015
Operation RussianDoll,Operation Russiandoll: Adobe & Windows ZeroDay Exploits Likely leveraged By Russia's APT28,FireEye,3bd10169fc704a20a702c3fc61633d68843f195c,04/18/2015,2015
cto-tib-20150420-01a,"Sofacy II_ Same Sofacy, Different Day",PWC,417a791693f2554ee1ec94564467168ea58e2cfb,04/20/2015,2015
The CozyDuke APT - Securelist,The Cozyduke APT,Kaspersky,46f4a7b1ec66e3aa1f6a93d64d9a4d3363621636,04/21/2015,2015
CozyDuke,Cozyduke,F-Secure,7f0cdde2b33261a9a35446bb2cb51c310539fa50,04/22/2015,2015
OperationClandestineWolf,Operation Clandestine Wolf _ Adobe Flash Zero-Day In APT3 Phishing Campaign,FireEye,da36e8623013f441bc3dd841e695ceb1f03db496,04/26/2015,2015
Attacks against Israeli & Palestinian interests - Cyber security updates,Attacks Against Israeli & Palestinian Interests,PWC,2babeca1ce5aff70f24684cd80ed45ef43ec9a17,04/27/2015,2015
Ahnlab_Targeted-Attack-on-Frances-TV5Monde(May-5-15),Targeted Attack on France's TV5Monde,Ahnlab,b6aec94a79b7af64566cf734ef2a703c3d670e1c,05/05/2015,2015
Dissecting-the-Kraken,Dissecting The Kraken,Gdata,c478f5c474609cc5401648c0a55213f3a7137344,05/07/2015,2015
FSOFACY,APT28 Targets  Financial Markets: Zero Day Hashes Released,root9b,3bda90269f9a49360befe7f9a00f832c57af89c2,05/10/2015,2015
Cylance SPEAR Team_ A Threat Actor Resurfaces,Cylance Spear Team: A Threat Actor Resurfaces,Cylance,2c19d922bfa84a0205d9142124caaa51dc2021f5,05/13/2015,2015
wp-operation-tropic-trooper,Operation Tropic Trooper: Relying On Tried-And-Tested Flaws To Infiltrate Secret Keepers,Trend Micro,93b3ec0cec9636d7815424be3030ae54c2eb79b5,05/14/2015,2015
CmstarDownloader_Lurid_Enfal_Cousin,Cmstar Downloader: Lurid And Enfal's New Cousin,Palo Alto,155c112f73a973ecf710fab5caa6434212275d81,05/18/2015,2015
oil-tanker-en,Operation Oil Tanker: The Phantom Menace,Pandalabs,538701feeead706e34d24cf2b831071ac2f600cb,05/19/2015,2015
TheNaikonAPT-MsnMM2,The Msnmm Campaigns: The Earliest Naikon APT Campaigns,Kaspersky,b91ed59b5aea02b712f1ea974fb4cf171ea8ba44,05/21/2015,2015
